primary,secondary,people,percent,integral
0,0,21,0.031098672,0.031098672
1,6,59,0.087372458,0.11847113
2,14,176,0.260636486,0.379107616
3,20,458,0.67824722,1.057354836
4,24,777,1.150650851,2.208005687
5,27,1167,1.72819761,3.936203296
6,30,1429,2.116190561,6.052393857
7,33,1674,2.479008397,8.531402254
8,35,1915,2.835902676,11.36730493
9,37,2065,3.058036045,14.42534097
10,39,2236,3.311268085,17.73660906
11,41,2145,3.176507175,20.91311623
12,43,2271,3.363099205,24.27621544
13,45,2389,3.537844122,27.81405956
14,47,2381,3.525997009,31.34005657
15,49,2462,3.645949028,34.9860056
16,51,2367,3.505264561,38.49127016
17,53,2416,3.577828128,42.06909829
18,54,2485,3.680009478,45.74910776
19,56,2531,3.748130377,49.49723814
20,58,2600,3.850311727,53.34754987
21,59,2654,3.93027974,57.27782961
22,61,2653,3.928798851,61.20662846
23,63,2619,3.878448621,65.08507708
24,64,2443,3.617812134,68.70288921
25,66,2488,3.684452145,72.38734136
26,67,2413,3.573385461,75.96072682
27,69,2262,3.349771203,79.31049802
28,71,2108,3.121714277,82.4322123
29,72,1986,2.941045804,85.3732581
30,74,1831,2.711507989,88.08476609
31,76,1644,2.434581723,90.51934782
32,78,1490,2.206524797,92.72587261
33,80,1277,1.891095414,94.61696803
34,82,1071,1.586032254,96.20300028
35,85,877,1.298739763,97.50174004
36,87,628,0.929998371,98.43173842
37,90,504,0.746368119,99.17810654
38,95,316,0.467960964,99.6460675
39,99,199,0.294696936,99.94076443
40,100,61,0.090334237,100.0310987
