primary,secondary,people,percent,integral
0,0,287,0.028457372,0.028457372
1,9,95,0.009419688,0.03787706
2,14,154,0.01526981,0.05314687
3,20,322,0.031927784,0.085074654
4,23,668,0.066235278,0.151309932
5,25,1324,0.131280701,0.282590632
6,27,2223,0.220420693,0.503011325
7,29,3369,0.334051874,0.837063199
8,30,4726,0.468604677,1.305667876
9,31,5825,0.577575591,1.883243466
10,32,6828,0.677027662,2.560271128
11,33,7983,0.791551234,3.351822363
12,34,8650,0.857687358,4.20950972
13,35,9495,0.941473001,5.150982721
14,36,9883,0.979944989,6.13092771
15,37,12356,1.225154334,7.356082044
16,38,12869,1.276020648,8.632102692
17,39,13711,1.359508828,9.99161152
18,40,14979,1.48523687,11.47684839
19,41,16152,1.601545225,13.07839362
20,42,17787,1.763663009,14.84205663
21,43,19375,1.921120526,16.76317715
22,44,20483,2.030983832,18.79416098
23,45,21968,2.178228424,20.97238941
24,46,23428,2.322994152,23.29538356
25,47,24570,2.436228714,25.73161227
26,48,25632,2.541530907,28.27314318
27,49,26270,2.604791547,30.87793473
28,50,27054,2.68252876,33.56046349
29,51,27641,2.740732515,36.301196
30,52,28418,2.817775645,39.11897165
31,53,28506,2.82650125,41.9454729
32,54,28786,2.854264541,44.79973744
33,55,28781,2.853768767,47.65350621
34,56,28865,2.862097755,50.51560396
35,57,28515,2.827393642,53.3429976
36,58,28554,2.831260672,56.17425827
37,59,28602,2.836020093,59.01027837
38,60,27882,2.764628775,61.77490714
39,61,27883,2.76472793,64.53963507
40,62,27317,2.708606422,67.24824149
41,63,26995,2.676678638,69.92492013
42,64,26329,2.610641669,72.5355618
43,65,25625,2.540836825,75.07639863
44,66,25236,2.502265683,77.57866431
45,67,24790,2.458042728,80.03670704
46,68,23530,2.333107922,82.36981496
47,69,22410,2.222054761,84.59186972
48,70,21455,2.127362111,86.71923183
49,71,20277,2.010557983,88.72978981
50,72,19032,1.887110496,90.61690031
51,73,17424,1.727669887,92.34457019
52,74,15856,1.572195461,93.91676566
53,76,14278,1.41572949,95.33249515
54,77,12520,1.24141569,96.57391084
55,79,10864,1.077215659,97.6511265
56,82,8896,0.882079391,98.53320589
57,85,6846,0.678812445,99.21201833
58,89,4543,0.450459383,99.66247772
59,96,2545,0.252348477,99.91482619
60,100,859,0.085173808,100
